gender,workload,study_hours,confidence,stress,days_to_deadline,risk
male,5,8.5,4.3,6.9,36,high
non-binary,4,9.1,7.9,8.8,25,medium
female,5,9.3,4.6,8.2,44,high
female,3,10.9,6.4,6.3,60,medium
male,1,16.9,9.3,9.0,47,low
male,6,7.5,5.3,6.0,40,medium
male,3,19.1,7.9,3.7,7,low
female,3,9.7,7.1,5.5,46,low
female,2,18.2,6.6,3.0,23,low
female,2,27.3,6.9,1.0,19,low
male,2,10.1,5.8,3.4,46,low
non-binary,6,11.6,6.1,5.7,22,medium
female,2,6.0,4.9,8.2,13,high
male,5,11.8,6.1,3.4,21,medium
male,4,14.0,4.8,8.0,1,high
male,1,14.5,8.0,2.5,59,low
male,3,6.9,2.6,3.2,19,medium
female,5,14.9,7.0,9.1,60,high
male,1,7.9,6.7,5.6,33,low
male,5,23.3,6.5,5.1,4,medium
female,5,13.3,8.0,6.1,42,medium
male,3,11.2,5.4,2.5,3,medium
male,4,21.5,6.5,4.7,27,low
male,2,12.2,2.6,5.5,52,low
female,6,14.5,5.2,8.6,41,high
female,4,8.7,7.7,1.3,35,low
male,6,5.7,3.3,9.9,28,high
female,3,15.2,6.3,5.2,6,low
female,3,23.3,4.6,2.7,6,low
male,3,9.6,5.8,2.3,55,low
female,1,9.4,4.8,6.2,57,low
male,6,7.0,3.5,2.1,44,high
male,4,2.7,6.8,4.1,23,low
non-binary,4,10.8,5.9,4.9,33,low
non-binary,5,16.2,7.2,8.4,16,medium
female,5,16.3,7.6,8.0,24,medium
male,5,6.3,8.5,3.9,5,high
male,3,13.9,6.3,5.0,41,low
female,4,22.8,8.5,1.5,42,low
male,6,13.3,4.0,1.0,13,medium
male,3,9.5,7.8,2.4,47,low
female,1,7.5,6.9,8.3,12,low
male,5,8.3,6.5,7.5,5,high
non-binary,3,19.5,6.9,6.5,37,low
male,3,10.3,4.1,1.9,31,low
female,1,6.7,3.6,3.7,28,low
male,2,9.6,9.4,3.4,28,low
female,4,7.3,5.7,5.1,30,low
female,6,18.2,5.6,4.9,18,low
male,2,4.8,3.8,3.0,44,low
non-binary,5,2.0,3.0,6.4,27,high
female,3,18.3,5.8,6.1,35,low
non-binary,1,4.2,5.3,3.7,26,low
female,1,20.3,6.0,6.3,57,low
female,4,33.0,6.2,8.3,39,low
non-binary,2,12.1,10.0,9.1,49,low
male,4,16.1,5.3,6.7,51,low
male,3,14.6,9.2,6.7,60,low
male,4,13.1,9.3,4.9,18,low
male,6,8.2,7.5,8.1,33,high
male,1,6.0,5.5,2.8,25,low
male,1,10.8,3.3,7.8,56,low
female,5,6.8,7.0,4.8,31,medium
male,5,13.2,8.0,9.2,37,high
male,3,8.3,9.5,7.0,59,low
female,6,5.2,4.1,5.3,60,medium
male,2,14.0,5.5,4.9,2,low
female,4,9.7,4.1,6.8,33,medium
male,3,5.0,4.7,6.7,39,medium
non-binary,5,18.5,7.3,4.5,43,low
female,4,11.4,4.6,5.7,43,medium
male,5,18.1,4.4,7.7,32,medium
male,4,12.5,7.6,2.1,18,low
female,2,8.6,6.9,7.3,17,medium
female,3,7.1,6.7,6.8,34,medium
female,4,14.9,4.7,8.5,39,high
female,6,22.8,8.6,3.7,7,low
male,1,14.2,6.0,5.5,42,low
male,6,8.4,10.0,6.0,54,high
male,6,12.8,6.3,7.3,53,medium
female,1,6.5,1.3,6.6,35,medium
female,6,14.2,1.2,2.4,30,high
male,4,16.8,7.2,6.2,12,medium
male,4,9.0,8.6,10.0,35,high
male,4,21.7,4.4,7.0,11,medium
male,1,8.3,10.0,9.6,44,low
female,6,12.7,9.3,8.1,57,high
female,1,15.9,6.4,8.9,4,medium
female,4,9.0,7.1,6.3,25,medium
female,6,5.7,7.8,6.8,48,medium
male,6,6.4,9.8,6.1,32,medium
female,5,9.3,7.4,5.5,20,medium
female,5,9.0,6.4,7.4,50,high
female,2,10.9,7.3,4.2,31,low
female,3,14.4,7.1,10.0,4,medium
female,5,16.9,7.8,3.2,54,low
female,1,17.8,2.9,7.5,38,medium
male,5,27.6,6.6,8.9,53,medium
male,2,7.1,6.9,5.1,47,low
male,6,27.9,5.9,2.7,1,medium
male,2,10.3,7.6,8.4,3,high
female,6,9.8,9.8,6.0,37,medium
male,6,16.5,6.3,7.5,22,medium
female,3,8.1,7.4,5.2,17,low
non-binary,5,15.2,9.2,9.8,14,medium
male,1,22.3,6.3,1.0,41,low
male,1,9.1,4.2,6.4,35,low
female,4,16.2,7.2,8.9,58,medium
male,6,14.5,1.6,5.8,13,high
male,1,29.7,1.4,6.3,35,medium
male,3,4.1,6.7,4.4,43,low
male,6,8.4,1.3,5.6,2,high
non-binary,3,5.4,3.4,1.3,56,medium
female,1,16.2,5.2,3.7,47,low
female,1,12.1,4.6,3.5,13,low
female,4,24.0,5.7,7.2,51,low
female,1,5.7,8.2,4.1,54,low
male,6,10.4,6.5,4.1,16,low
female,6,21.4,4.3,4.6,18,medium
female,6,9.5,8.7,3.6,7,medium
female,4,9.0,3.1,6.2,45,high
female,4,8.4,6.4,6.4,36,medium
male,1,6.6,2.9,7.6,41,medium
male,2,6.5,6.5,7.1,30,low
male,2,7.8,5.4,6.9,42,low
male,4,4.3,8.2,4.7,41,medium
female,1,11.6,7.4,4.5,7,low
female,2,8.5,4.8,3.3,15,low
male,1,2.0,4.4,3.3,60,medium
female,1,4.3,5.4,6.0,40,low
male,1,2.0,9.8,3.7,19,medium
male,5,4.6,9.2,9.2,43,high
male,6,19.1,4.1,5.4,37,medium
male,1,11.7,7.6,9.3,2,high
non-binary,5,8.4,2.5,6.9,42,high
male,4,16.1,5.1,3.6,48,low
female,2,8.4,4.1,5.3,55,low
female,6,4.9,8.1,1.3,13,medium
male,2,8.0,3.4,6.0,40,medium
non-binary,6,16.7,6.9,3.8,41,medium
non-binary,2,12.2,6.0,2.7,43,low
male,6,17.7,5.6,9.3,43,high
female,2,10.6,9.3,8.1,55,medium
male,2,7.9,9.5,8.0,58,medium
male,2,21.9,5.7,7.5,31,low
male,2,7.4,5.3,2.4,16,low
female,4,16.6,3.0,4.5,42,medium
female,1,5.6,6.0,4.7,56,low
male,3,16.3,9.9,1.2,44,low
male,5,14.4,5.7,4.1,57,low
non-binary,3,16.4,7.5,4.1,6,low
male,3,5.4,3.2,5.8,28,medium
male,6,12.1,5.1,10.0,32,high
female,1,6.9,6.9,5.4,44,low
non-binary,6,3.9,6.2,5.8,10,medium
male,1,6.6,7.6,4.9,50,low
female,1,20.5,4.8,7.3,18,low
female,2,20.5,2.5,2.8,4,medium
male,4,5.7,8.2,10.0,9,high
female,2,11.0,4.1,5.2,7,medium
male,4,13.8,7.0,4.5,50,low
female,6,5.9,6.9,7.9,8,high
female,4,14.5,2.7,3.3,43,medium
female,6,17.2,8.1,7.3,7,high
male,3,10.0,4.9,9.0,41,medium
female,3,7.1,6.1,4.9,40,medium
male,4,10.0,5.3,10.0,3,high
male,4,4.5,9.2,7.1,17,medium
male,6,18.2,8.7,7.1,2,high
female,2,9.2,2.4,8.9,15,high
female,6,18.8,10.0,9.6,46,medium
male,2,11.8,4.6,6.2,29,low
female,3,6.5,10.0,7.5,50,medium
male,1,2.7,5.5,9.0,48,medium
female,4,10.6,5.3,2.6,52,low
male,2,9.1,5.5,1.2,22,low
female,6,13.8,5.2,5.4,4,medium
male,3,6.1,10.0,1.1,57,low
non-binary,2,10.1,5.8,4.7,52,low
male,6,13.7,5.4,6.3,6,medium
male,4,13.7,6.2,4.8,38,low
male,4,20.5,4.1,5.1,26,low
non-binary,5,19.6,9.2,3.0,11,medium
female,1,11.7,3.1,7.5,26,medium
male,5,11.2,4.8,2.8,17,medium
female,3,13.6,7.9,1.0,24,low
female,2,3.7,6.1,5.0,28,low
female,3,4.6,7.1,7.8,35,medium
female,6,5.8,9.1,5.7,31,low
male,4,10.8,8.0,2.6,13,low
male,5,8.5,6.3,5.8,54,medium
female,5,6.8,10.0,6.6,35,medium
non-binary,5,11.6,4.7,5.7,16,medium
female,3,34.1,5.8,4.8,15,low
male,4,3.5,5.9,6.7,43,medium
male,2,8.7,5.8,1.2,18,low
female,6,18.0,3.9,3.3,47,medium
female,2,11.2,2.8,2.2,37,low
female,3,5.0,6.8,8.9,48,high
female,6,12.0,4.7,7.3,48,medium
female,5,19.9,9.8,6.0,49,medium
male,1,8.3,5.9,1.9,41,low
male,3,14.6,5.5,7.4,27,low
female,3,6.0,8.2,9.0,55,medium
female,4,5.4,6.8,6.9,35,medium
male,2,7.5,5.6,5.4,52,low
male,3,13.8,4.7,7.1,45,medium
female,3,23.6,10.0,6.2,54,low
male,5,22.6,6.7,7.8,35,medium
male,5,7.5,8.2,7.8,28,medium
female,6,11.4,4.0,4.9,39,high
female,1,11.1,4.8,3.8,38,low
female,4,15.2,10.0,4.5,9,low
male,1,3.2,8.8,6.8,12,low
female,6,10.6,6.9,4.7,15,medium
male,5,3.5,5.2,3.6,21,low
male,2,26.3,5.5,5.5,52,low
female,5,20.8,4.6,8.3,35,high
female,4,6.9,3.7,5.8,42,medium
female,5,28.1,7.8,4.8,33,low
female,4,5.6,7.1,6.3,51,medium
female,4,12.0,7.5,5.7,19,low
male,4,11.0,5.3,1.0,55,low
